ADV,ADV,,ADV,,ADV,ADV,
FEB 2018,FEB 2017,% CHG,JAN 2018,% CHG,Y.T.D 2018,Y.T.D 2017,% CHG
TURKISH LIRA,63,4.95,1176.6%,70.1,-9.9%,67,30,121.9%
JAPANESE YEN,"181,994","144,205.84",26.2%,"165,697.1",9.8%,"173,438","168,818",2.7%
KOREAN WON,17,1.68,903.1%,26.67,-36.6%,22,1,2426.4%
CD/JY CROSS RATES,2,0,-,19.05,-88.9%,11,0,21342.5%
CANADIAN DOLLAR,"85,383","57,571.32",48.3%,"81,973.81",4.2%,"83,593","64,093",30.4%
AD/NE CROSS RATES,4,1.32,216.0%,3.29,26.5%,4,1,312.3%
BRITISH POUND,"144,173","103,953.21",38.7%,"139,545",3.3%,"141,743","114,525",23.8%
RUSSIAN RUBLE,"2,874","1,120.68",156.5%,"1,270.33",126.3%,"2,032","1,183",71.8%
SWISS FRANC,"27,466","19,580.21",40.3%,"33,945.38",-19.1%,"30,868","21,701",42.2%
NEW ZEALND DOLLAR,"34,468","22,033.68",56.4%,"36,436.48",-5.4%,"35,502","24,516",44.8%
BP/JY CROSS RATES,190,65.79,188.6%,220.43,-13.9%,206,95,116.2%
SHEKEL,4,0,-,3.24,23.5%,4,0,-
E-MICRO GBP/USD,"3,173","2,956.68",7.3%,"3,504",-9.5%,"3,347","3,435",-2.6%
E-MICRO EUR/USD,"20,208","12,556.11",60.9%,"21,416.29",-5.6%,"20,842","14,392",44.8%
E-MICRO AUD/USD,"5,349","4,360.89",22.7%,"5,641",-5.2%,"5,502","4,155",32.4%
AUSTRALIAN DOLLAR,"133,938","79,162.74",69.2%,"121,088.19",10.6%,"127,192","84,719",50.1%
E-MINI JAPANESE YEN,724,"1,292.58",-44.0%,731,-1.0%,728,"1,582",-54.0%
EFX/JY CROSS RATES,"4,531","1,708.37",165.2%,"3,146.48",44.0%,"3,804","1,667",128.2%
RMB USD,0,1.89,-97.2%,0.62,-91.5%,0,2,-84.5%
EFX/BP CROSS RATES,"3,626","1,769.63",104.9%,"2,960.86",22.5%,"3,277","1,924",70.4%
EFX/SF CROSS RATES,"1,444",954.47,51.2%,"1,085.19",33.0%,"1,255",949,32.4%
INDIAN RUPEE,"5,254","1,348.84",289.6%,"5,561.62",-5.5%,"5,416","1,229",340.8%
EC/SEK CROSS RATES,18,3.32,438.1%,34.81,-48.7%,27,3,684.4%
S.AFRICAN RAND,"2,107","2,081.42",1.2%,"1,839.71",14.5%,"1,967","1,907",3.1%
MEXICAN PESO,"61,715","37,750.11",63.5%,"59,078.43",4.5%,"60,331","46,409",30.0%
EURO FX,"262,377","193,002.26",35.9%,"291,887.14",-10.1%,"277,870","205,012",35.5%
SF/JY CROSS RATES,0,0,-,9.14,-100.0%,5,1,485.0%
EC/CD CROSS RATES,88,82.68,5.9%,190.24,-54.0%,141,100,41.1%
EC/NOK CROSS RATES,8,2.16,278.0%,16.33,-50.1%,12,2,514.6%
EC/AD CROSS RATES,52,29,78.0%,45.76,12.8%,49,23,112.3%
BP/SF CROSS RATES,11,0,-,11.81,-6.0%,11,0,-
E-MINI EURO FX,"4,726","3,692.21",28.0%,"6,833.67",-30.8%,"5,832","4,061",43.6%
POLISH ZLOTY (EC),1,0.16,266.6%,1.1,-47.1%,1,1,-38.6%
AD/JY CROSS RATES,262,66.42,294.4%,161,62.7%,209,76,176.4%
AD/CD CROSS RATES,1,0.05,1601.0%,0.24,275.8%,1,0,257.6%
POLISH ZLOTY (US),3,31.95,-91.8%,11.1,-76.3%,7,35,-79.7%
SKR/USD CROSS RATES,122,45,170.6%,143.81,-15.3%,133,50,165.9%
HUNGARIAN FORINT (EC),0,0,-,0.86,-100.0%,0,0,-
NKR/USD CROSS RATE,121,42.63,184.7%,175.33,-30.8%,150,41,268.6%
BRAZIL REAL,"6,784","4,847.89",39.9%,"5,201.1",30.4%,"5,953","4,630",28.6%
CHINESE RENMINBI (CNH),153,92.74,65.3%,74.57,105.6%,112,99,13.7%
USDZAR,0,0,-,0,-,0,0,-
E-MICRO INR/USD,121,81.32,49.3%,164.57,-26.3%,144,107,34.0%
E-MICRO JPY/USD,"1,761","2,615.63",-32.7%,"1,543.33",14.1%,"1,647","3,022",-45.5%
E-MICRO CAD/USD,719,623.05,15.3%,"1,240.9",-42.1%,993,678,46.4%
BDI,0,31.63,-100.0%,0,-,0,67,-100.0%
E-MICRO CHF/USD,64,37.58,71.3%,76.52,-15.9%,71,41,72.5%
